ID_1,Province,Province_English,Deforestation_haYear,Perc_Poor,Pop_density,GDP,OilPalm_ha,Coconut_ha,Rubber_ha
1,Aceh,Aceh,"21,464",18,78,85.5,394,108,124
2,Bali,Bali,74,4,673,78.5,0,71,0
4,Banten,Banten,0,6,1100,517.7,21,101,24
5,Bengkulu,Bengkulu,"16,745",18,86,32.3,309,10,77
8,DKI Jakarta,Jakarta,0,4,14469,1042.4,0,0,0
6,Gorontalo,Gorontalo,0,18,92,48.7,0,72,0
9,Jambi,Jambi,"65,734",8,62,192.3,721,119,457
10,Jawa Barat,West Java,572,10,1217,888.3,12,183,55
11,Jawa Tengah,Central Java,481,15,987,52.9,0,236,32
12,Jawa Timur,East Java,241,13,784,203.0,0,298,27
13,Kalimantan Barat,West Kalimantan ,"92,196",8,30,70.5,955,108,398
14,Kalimantan Selatan,South Kalimantan,"7,060",5,94,69.2,531,45,138
15,Kalimantan Tengah,Central Kalimantan ,"62,107",6,14,52.7,1169,74,273
16,Kalimantan Timur,East Kalimantan,"143,154",6,17,353.1,830,31,62
3,Kepulauan Bangka Belitung,Bangka-Belitung,"17,553",5,74,136.5,193,11,31
17,Kepulauan Riau,Riau Islands,"4,709",7,205,71.0,19,35,33
18,Lampung,Lampung,"1,085",15,220,83.3,171,127,88
20,Maluku,Maluku,"2,427",20,33,11.0,16,112,0
19,Maluku Utara,North Maluku,"4,067",8,32,6.4,0,222,0
21,Nusa Tenggara Barat,West Nusa Tenggara ,"1,500",18,242,46.7,0,66,0
22,Nusa Tenggara Timur,East Nusa Tenggara ,"4,225",20,96,33.6,0,161,0
23,Papua,Papua,0,31,9,42.3,52,24,5
7,Papua Barat,West Papua,"20,285",27,8,77.3,40,21,0
24,Riau,Riau,"31,028",8,64,433.5,2227,522,405
25,Sulawesi Barat,West Sulawesi,"1,412",12,69,9.8,97,53,1
26,Sulawesi Selatan,South Sulawesi,0,10,172,33.8,33,109,20
27,Sulawesi Tengah,Central Sulawesi,285,15,43,153.4,145,216,3
28,Sulawesi Tenggara,Southeast Sulawesi,0,13,59,13.4,62,58,0
29,Sulawesi Utara,North Sulawesi,303,8,164,44.3,0,280,0
30,Sumatera Barat,West Sumatra,"44,781",8,115,105.5,374,92,136
31,Sumatera Selatan,South Sumatra,"24,067",14,81,22.7,941,67,686
32,Sumatera Utara,North Sumatera,"46,395",10,178,335.3,1276,114,482
33,Yogyakarta,Yogyakarta,0,15,1104,943.2,0,44,0
